kubun,data_kubun,bunya_code,bunya_name,chuubunrui_code,chuubunrui_name,shoubunrui_code,shoubunrui_name,koumoku_code,koumoku_name_full,koumoku_name,koumoku_sub,tani,period,min_year,max_year,stat_name,stat_name2,stat_url,stat_url2,stat_domain,stat_minister,stat_source,stat_create,stat_memo,koumoku_type_code,koumoku_type,cancel_flg,is_observations_pref
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120201,5～9歳人口（男）,5～9歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120202,5～9歳人口（女）,5～9歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1203,10～14歳人口,10～14歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120301,10～14歳人口（男）,10～14歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120302,10～14歳人口（女）,10～14歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1204,15～19歳人口,15～19歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120401,15～19歳人口（男）,15～19歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120402,15～19歳人口（女）,15～19歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1205,20～24歳人口,20～24歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120501,20～24歳人口（男）,20～24歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120502,20～24歳人口（女）,20～24歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1206,25～29歳人口,25～29歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120601,25～29歳人口（男）,25～29歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120602,25～29歳人口（女）,25～29歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1207,30～34歳人口,30～34歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120701,30～34歳人口（男）,30～34歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120702,30～34歳人口（女）,30～34歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1208,35～39歳人口,35～39歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120801,35～39歳人口（男）,35～39歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120802,35～39歳人口（女）,35～39歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1209,40～44歳人口,40～44歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120901,40～44歳人口（男）,40～44歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120902,40～44歳人口（女）,40～44歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1210,45～49歳人口,45～49歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121001,45～49歳人口（男）,45～49歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121002,45～49歳人口（女）,45～49歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1211,50～54歳人口,50～54歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121101,50～54歳人口（男）,50～54歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121102,50～54歳人口（女）,50～54歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1212,55～59歳人口,55～59歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121201,55～59歳人口（男）,55～59歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121202,55～59歳人口（女）,55～59歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1213,60～64歳人口,60～64歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121301,60～64歳人口（男）,60～64歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121302,60～64歳人口（女）,60～64歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1214,65～69歳人口,65～69歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121401,65～69歳人口（男）,65～69歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121402,65～69歳人口（女）,65～69歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1215,70～74歳人口,70～74歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121501,70～74歳人口（男）,70～74歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121502,70～74歳人口（女）,70～74歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1216,75～79歳人口,75～79歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121601,75～79歳人口（男）,75～79歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121602,75～79歳人口（女）,75～79歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1217,80～84歳人口,80～84歳人口,,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121701,80～84歳人口（男）,80～84歳人口,（男）,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121702,80～84歳人口（女）,80～84歳人口,（女）,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1218,85～89歳人口,85～89歳人口,,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121801,85～89歳人口（男）,85～89歳人口,（男）,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121802,85～89歳人口（女）,85～89歳人口,（女）,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1219,90～94歳人口,90～94歳人口,,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121901,90～94歳人口（男）,90～94歳人口,（男）,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A121902,90～94歳人口（女）,90～94歳人口,（女）,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1220,95～99歳人口,95～99歳人口,,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A122001,95～99歳人口（男）,95～99歳人口,（男）,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A122002,95～99歳人口（女）,95～99歳人口,（女）,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1221,100歳以上人口,100歳以上人口,,人,5年,1980,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A122101,100歳以上人口（男）,100歳以上人口,（男）,人,5年,1980,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A122102,100歳以上人口（女）,100歳以上人口,（女）,人,5年,1980,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1231,年齢中位数,年齢中位数,,歳,5年,2010,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,「年齢中位数」とは、人口を年齢順に並べたとき、その中央で人口を２等分する境界点にある年齢のことをいう。,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A1301,15歳未満人口,15歳未満人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130101,15歳未満人口（男）,15歳未満人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130102,15歳未満人口（女）,15歳未満人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A1302,15～64歳人口,15～64歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130201,15～64歳人口（男）,15～64歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130202,15～64歳人口（女）,15～64歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A1303,65歳以上人口,65歳以上人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130301,65歳以上人口（男）,65歳以上人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130302,65歳以上人口（女）,65歳以上人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A1304,15歳未満人口割合,15歳未満人口割合,,%,毎年,2005,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"人口（年齢不詳を含まない）に占める年齢３区分の人口割合のことで、男女別にデータを収集している。

　また、国勢調査年は国勢調査結果から収集し、それ以外の年は人口推計結果（都道府県数値）より収集している。",2,比率,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130401,15歳未満人口割合（男）,15歳未満人口割合,（男）,%,毎年,2005,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"人口（年齢不詳を含まない）に占める年齢３区分の人口割合のことで、男女別にデータを収集している。

　また、国勢調査年は国勢調査結果から収集し、それ以外の年は人口推計結果（都道府県数値）より収集している。",2,比率,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130402,15歳未満人口割合（女）,15歳未満人口割合,（女）,%,毎年,2005,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"人口（年齢不詳を含まない）に占める年齢３区分の人口割合のことで、男女別にデータを収集している。

　また、国勢調査年は国勢調査結果から収集し、それ以外の年は人口推計結果（都道府県数値）より収集している。",2,比率,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A1305,15～64歳人口割合,15～64歳人口割合,,%,毎年,2005,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"人口（年齢不詳を含まない）に占める年齢３区分の人口割合のことで、男女別にデータを収集している。

　また、国勢調査年は国勢調査結果から収集し、それ以外の年は人口推計結果（都道府県数値）より収集している。",2,比率,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130501,15～64歳人口割合（男）,15～64歳人口割合,（男）,%,毎年,2005,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"人口（年齢不詳を含まない）に占める年齢３区分の人口割合のことで、男女別にデータを収集している。

　また、国勢調査年は国勢調査結果から収集し、それ以外の年は人口推計結果（都道府県数値）より収集している。",2,比率,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130502,15～64歳人口割合（女）,15～64歳人口割合,（女）,%,毎年,2005,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"人口（年齢不詳を含まない）に占める年齢３区分の人口割合のことで、男女別にデータを収集している。

　また、国勢調査年は国勢調査結果から収集し、それ以外の年は人口推計結果（都道府県数値）より収集している。",2,比率,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A1306,65歳以上人口割合,65歳以上人口割合,,%,毎年,2005,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"人口（年齢不詳を含まない）に占める年齢３区分の人口割合のことで、男女別にデータを収集している。

　また、国勢調査年は国勢調査結果から収集し、それ以外の年は人口推計結果（都道府県数値）より収集している。",2,比率,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130601,65歳以上人口割合（男）,65歳以上人口割合,（男）,%,毎年,2005,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"人口（年齢不詳を含まない）に占める年齢３区分の人口割合のことで、男女別にデータを収集している。

　また、国勢調査年は国勢調査結果から収集し、それ以外の年は人口推計結果（都道府県数値）より収集している。",2,比率,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A13,年齢3区分人口,A130602,65歳以上人口割合（女）,65歳以上人口割合,（女）,%,毎年,2005,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"人口（年齢不詳を含まない）に占める年齢３区分の人口割合のことで、男女別にデータを収集している。

　また、国勢調査年は国勢調査結果から収集し、それ以外の年は人口推計結果（都道府県数値）より収集している。",2,比率,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A14,特殊年齢区分人口,A1401,3歳人口,3歳人口,,人,5年,1975,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A14,特殊年齢区分人口,A140101,3歳人口（男）,3歳人口,（男）,人,5年,1980,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A14,特殊年齢区分人口,A140102,3歳人口（女）,3歳人口,（女）,人,5年,1980,2020,国勢調査報告,,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
